"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Opened"
3298,"Tomcat 3","Connectors","dev","RESOLVED","LATER","IIS-Redirector fails to read from client","2005-03-20 17:06:12","2001-08-28 01:28:54"
24123,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","AccessLogInterceptor does not log PUT/POST requests","2004-11-16 19:05:41","2003-10-25 22:38:46"
5246,"Tomcat 3","Jasper","dev","RESOLVED","WONTFIX","illegal tag at jsp:plugin","2004-11-16 19:05:38","2001-12-03 10:54:48"
6137,"Tomcat 3","Webapps","dev","RESOLVED","FIXED","Context Administration removes /ROOT instead of the specified context at first remove request","2004-11-16 19:05:38","2002-01-30 22:18:50"
6616,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","date headers not working properly","2004-11-16 19:05:38","2002-02-21 16:29:32"
23316,"Tomcat 3","Auth","dev","RESOLVED","FIXED","Oracle JDBCRealms failed after tns listener restart.","2004-11-16 19:05:41","2003-09-22 04:55:17"
28761,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","mod_jk logging: amall spelling improvement","2004-11-16 19:05:41","2004-05-04 09:36:28"
6234,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","checkError method of Servlet's PrintWriter is unreliable","2005-03-20 17:06:12","2002-02-04 23:07:07"
11115,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Shell scripts not executable","2004-11-16 19:05:39","2002-07-24 06:42:14"
4150,"Tomcat 3","Unknown","dev","RESOLVED","WONTFIX","deprications in build.xml (fixcrlf  attribute cr -> eol)","2004-11-16 19:05:38","2001-10-13 07:14:39"
7148,"Tomcat 3","Jasper","dev","RESOLVED","LATER","Log is not flushed","2004-11-16 19:05:38","2002-03-15 11:23:55"
4074,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Typo in StopTomcat.java","2004-11-16 19:05:38","2001-10-10 08:03:31"
3644,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Errors reloading resources from jars: possible JDK bug","2004-11-16 19:05:38","2001-09-16 20:28:21"
4923,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","getRealPath().exists() yields security exception","2004-11-16 19:05:38","2001-11-16 06:01:58"
5250,"Tomcat 3","Connectors","dev","RESOLVED","LATER","Load balancing workers do not correctly handle Cookies conformant with RFC 2965","2004-11-16 19:05:38","2001-12-03 13:49:25"
5722,"Tomcat 3","Webapps","dev","RESOLVED","INVALID","Forward to a page that have no extension displays a blank page","2005-03-20 17:06:12","2002-01-07 10:16:02"
7520,"Tomcat 3","Config","dev","RESOLVED","FIXED","Tomcat starts with title 3.3 instead of 3.3.1","2005-03-20 17:06:12","2002-03-27 16:26:09"
2700,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","New setStatusLine method?","2004-11-16 19:05:38","2001-07-19 17:29:14"
3600,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","/etc/rc.d scripts of the rpm","2004-11-16 19:05:38","2001-09-14 01:12:32"
3798,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","Service Manager for Tomcat","2005-03-20 17:06:12","2001-09-24 12:56:51"
3551,"Tomcat 3","Jasper","dev","CLOSED","LATER","JspC re-pre-compiles files even if they haven't changed","2005-03-20 17:06:12","2001-09-11 10:35:15"
2746,"Tomcat 3","Config","dev","RESOLVED","FIXED","tomcat_home and conf/ directory configration files","2004-11-16 19:05:38","2001-07-23 11:21:22"
6004,"Tomcat 3","Config","dev","RESOLVED","FIXED","Cannot configure keystoreType","2004-11-16 19:05:38","2002-01-24 11:24:01"
3168,"Tomcat 3","Jasper","dev","RESOLVED","WONTFIX","Reloading JSP Pages with includes in it","2005-03-20 17:06:12","2001-08-19 23:21:50"
3370,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","New featues for jk_nt_service","2005-03-20 17:06:12","2001-09-01 16:40:11"
